gaia_id,hostname,pl_name,ra,dec
"Gaia DR2 2052634109935669376","Kepler-383","Kepler-383 c",291.3426078,38.3631616
"Gaia DR2 2075358472669256448","Kepler-703","Kepler-703 b",299.1868586,41.7426990
"Gaia DR2 2613413008919918976","WASP-47","WASP-47 d",331.2030920,-12.0190670
"Gaia DR2 3613175223837135616","K2-110","K2-110 b",207.3497402,-12.2849182
"Gaia DR2 2086727319810829440","Kepler-852","Kepler-852 b",297.3915863,48.5606875
"Gaia DR2 2105618029085927680","Kepler-605","Kepler-605 b",287.2954015,43.2798677
"Gaia DR2 2076834154709585664","Kepler-1722","Kepler-1722 b",296.6627402,41.2611985
,"KMT-2023-BLG-1431L","KMT-2023-BLG-1431L b",271.1835417,-29.7439194
"Gaia DR2 2128504397979254528","Kepler-226","Kepler-226 d",292.3760942,47.8809596
"Gaia DR2 2582617711154563968","EPIC 220674823","EPIC 220674823 b",13.0800239,10.7947051
"Gaia DR2 2126569051355142656","Kepler-111","Kepler-111 c",291.6531630,44.6882613
"Gaia DR2 4955371367334610048","WASP-18","WASP-18 b",24.3544618,-45.6777937
"Gaia DR2 2078515170549178880","Kepler-289","Kepler-289 d",297.4653351,42.8828517
"Gaia DR2 2085626983551485440","Kepler-267","Kepler-267 b",299.8305655,47.1575741
"Gaia DR2 2126336710805475712","Kepler-327","Kepler-327 d",292.6422963,44.0876251
"Gaia DR2 2076953069455745920","Kepler-353","Kepler-353 c",296.8565596,41.7580749
"Gaia DR2 2101715862321812736","Kepler-206","Kepler-206 d",291.6346564,41.8338415
"Gaia DR2 6176542204376734592","TOI-4914","TOI-4914 b",204.5426717,-28.1429206
"Gaia DR2 2101000836165429504","Kepler-687","Kepler-687 b",289.3154576,39.1532911
"Gaia DR2 2106246984096567552","Kepler-834","Kepler-834 b",287.0544674,45.1803351
"Gaia DR2 2127132821641254272","Kepler-953","Kepler-953 b",288.9716297,44.6246451
"Gaia DR2 2126336710805475712","Kepler-327","Kepler-327 b",292.6422963,44.0876251
"Gaia DR2 2107240324132394496","Kepler-1074","Kepler-1074 b",284.4766869,46.2526781
"Gaia DR2 328636019723252096","WASP-33","WASP-33 b",36.7127375,37.5504441
"Gaia DR2 2078807228323035008","Kepler-249","Kepler-249 b",296.9853002,43.6586043
"Gaia DR2 2126465903421535744","Kepler-395","Kepler-395 c",293.5111889,45.1366252
"Gaia DR2 2132155017099178624","Kepler-10","Kepler-10 c",285.6792980,50.2414842
"Gaia DR2 4393265392167891712","GJ 1214","GJ 1214 b",258.8313991,4.9606795
"Gaia DR2 2831084391023184128","WASP-21","WASP-21 b",347.4928024,18.3961597
"Gaia DR2 2119222252094710912","Kepler-1735","Kepler-1735 b",281.0503476,47.1882005
"Gaia DR2 2104475013729123072","Kepler-1855","Kepler-1855 b",283.4018628,41.5161554
"Gaia DR2 1808938730710633984","HAT-P-23","HAT-P-23 b",306.1239076,16.7621462
"Gaia DR2 2126903680847794048","Kepler-250","Kepler-250 b",289.5947633,44.1418114
"Gaia DR2 2125896459478159360","Kepler-1015","Kepler-1015 b",292.7573088,43.4268439
"Gaia DR2 2077894736749534080","Kepler-1236","Kepler-1236 b",295.6247375,42.5458739
"Gaia DR2 2343647384368388608","HD 4208","HD 4208 b",11.1125532,-26.5150392
"Gaia DR2 560130775546153344","HD 7924","HD 7924 b",20.4956562,76.7101475
,"Kepler-132","Kepler-132 c",283.2358100,41.3430370
"Gaia DR2 2077203178296653056","Kepler-136","Kepler-136 b",296.4673039,42.5987984
"Gaia DR2 2135019107451751168","Kepler-23","Kepler-23 c",294.2189131,49.4792536
"Gaia DR2 2086449761846310784","Kepler-17","Kepler-17 b",298.3952437,47.8149865
"Gaia DR2 2135301441422463360","Kepler-676","Kepler-676 b",296.2220259,50.2873626
"Gaia DR2 2128268380936413568","Kepler-217","Kepler-217 c",293.0377331,46.2775223
"Gaia DR2 2131709921047710336","Kepler-101","Kepler-101 b",283.2555070,48.3552474
"Gaia DR2 2100243616248608896","Kepler-30","Kepler-30 b",285.2836483,38.9472625
"Gaia DR2 2075998903831657472","Kepler-462","Kepler-462 c",299.8211502,43.8142793
"Gaia DR2 2076953069455745920","Kepler-353","Kepler-353 b",296.8565596,41.7580749
"Gaia DR2 2076185408488670208","Kepler-1801","Kepler-1801 b",295.1640095,39.2014024
"Gaia DR2 1014520826353577088","HAT-P-13","HAT-P-13 b",129.8823772,47.3519076
"Gaia DR2 2075377679763353984","Kepler-539","Kepler-539 b",299.1224639,41.8667953
"Gaia DR2 2128256492466658176","Kepler-478","Kepler-478 b",292.4870063,46.1961870
"Gaia DR2 2131181055955983232","Kepler-531","Kepler-531 b",286.5246582,48.6835481
"Gaia DR2 2052823535171095296","Kepler-24","Kepler-24 b",290.4132621,38.3437283
"Gaia DR2 4767547667180525696","TOI-201","TOI-201 b",87.4017825,-54.9104230
"Gaia DR2 2073686523494136192","Kepler-1800","Kepler-1800 b",297.6513317,40.3524154
"Gaia DR2 2131048324286015104","Kepler-1168","Kepler-1168 b",287.2977834,47.4554880
"Gaia DR2 2078008703696509056","Kepler-508","Kepler-508 b",295.4042546,42.9812789
"Gaia DR2 2086337508581280256","Kepler-223","Kepler-223 d",298.3183909,47.2794824
"Gaia DR2 2102067396802935680","Kepler-306","Kepler-306 b",288.5387145,40.6160545
"Gaia DR2 3011005587574818432","DMPP-1","DMPP-1 c",86.7761233,-10.6303217
"Gaia DR2 2130889204338693504","Kepler-164","Kepler-164 c",287.7808115,47.6298453
"Gaia DR2 2132144056342471168","Kepler-2000","Kepler-2000 c",285.5743032,49.9621218
"Gaia DR2 2303332931542914048","XO-7","XO-7 b",277.4780753,85.2333208
"Gaia DR2 2102700131386216576","Kepler-46","Kepler-46 c",289.2687388,42.6041819
"Gaia DR2 2105261134483173632","Kepler-83","Kepler-83 b",282.2325197,43.6655662
"Gaia DR2 2073274618947678464","Kepler-58","Kepler-58 e",296.3586251,39.1152033
"Gaia DR2 2106775024555031936","Kepler-725","Kepler-725 b",283.9774949,44.8115613
"Gaia DR2 2076839480469187712","Kepler-1783","Kepler-1783 b",297.0210984,41.3771655
"Gaia DR2 2126454633427425664","Kepler-561","Kepler-561 b",293.7471107,45.1071981
"Gaia DR2 2102456726998624640","Kepler-279","Kepler-279 d",287.3912950,42.1948220
"Gaia DR2 2082286632869692928","Kepler-1571","Kepler-1571 b",300.9354067,45.5964836
"Gaia DR2 2125850623586710400","Kepler-82","Kepler-82 e",292.8733696,42.9661583
"Gaia DR2 3582339626395387264","K2-132","K2-132 b",182.1662666,-8.7472172
"Gaia DR2 2104071978297949056","Kepler-204","Kepler-204 c",285.3471620,41.7618450
"Gaia DR2 2135604425595213440","Kepler-419","Kepler-419 b",295.4179125,51.1847629
"Gaia DR2 2131748747552136960","Kepler-297","Kepler-297 c",283.2091605,48.7776156
"Gaia DR2 2099980111415659776","Kepler-967","Kepler-967 b",286.5580128,38.4052418
"Gaia DR2 6339097679918871168","WASP-189","WASP-189 b",225.6867320,-3.0314874
"Gaia DR2 2077816087307845248","Kepler-81","Kepler-81 c",293.6369437,42.8248275
"Gaia DR2 2105362903731391744","Kepler-139","Kepler-139 d",282.3919451,43.8894167
"Gaia DR2 2128298617506651904","Kepler-342","Kepler-342 b",292.6780488,46.7266813
"Gaia DR2 2135223204298512128","Kepler-231","Kepler-231 b",293.9733913,50.5318460
"Gaia DR2 600698184764497664","HIP 41378","HIP 41378 d",126.6158279,10.0803708
"Gaia DR2 3798552815560689792","K2-27","K2-27 b",171.5151874,1.2306237
"Gaia DR2 2135275362382289280","Kepler-51","Kepler-51 d",296.4797624,49.9376486
"Gaia DR2 2079295583282164992","Kepler-18","Kepler-18 b",298.0794448,44.7462480
"Gaia DR2 2128013019361703936","Kepler-31","Kepler-31 b",294.0230229,45.8530535
"Gaia DR2 2086306584816171392","Kepler-87","Kepler-87 c",297.9168433,46.9651146
"Gaia DR2 2131114947819394816","Kepler-229","Kepler-229 c",286.9994758,48.3757867
"Gaia DR2 2101188990094347648","Kepler-53","Kepler-53 b",290.4617926,40.5624966
"Gaia DR2 2052823535171095296","Kepler-24","Kepler-24 c",290.4132621,38.3437283
"Gaia DR2 2643842302456085888","GJ 9827","GJ 9827 c",351.7717763,-1.2853435
"Gaia DR2 323386882492982144","HAT-P-53","HAT-P-53 b",21.8711012,38.9681137
"Gaia DR2 3798690151434945280","K2-10","K2-10 b",172.1216476,1.6906217
"Gaia DR2 3811989156889528320","K2-36","K2-36 b",169.4490102,3.8665038
"Gaia DR2 5402390257832925952","TOI-1203","TOI-1203 c",168.2267358,-34.4069371
"Gaia DR2 2635476908753563008","TRAPPIST-1","TRAPPIST-1 d",346.6263919,-5.0434618
"Gaia DR2 1697129530714536320","TIC 257060897","TIC 257060897 b",227.5321527,72.7103128
"Gaia DR2 6772454416893148928","K2-280","K2-280 b",291.5953596,-22.2477071
"Gaia DR2 6003809889735481856","WASP-178","WASP-178 b",227.2703290,-42.7049658
"Gaia DR2 2101941434002832000","Kepler-1120","Kepler-1120 b",290.9144516,42.2865522
"Gaia DR2 2130024026126714880","Kepler-973","Kepler-973 b",290.1653203,49.9238126
"Gaia DR2 2101230049979183232","Kepler-319","Kepler-319 b",288.8119782,39.7706431
"Gaia DR2 2101768089124657664","Kepler-245","Kepler-245 d",291.6389972,42.4363482
"Gaia DR2 2939555954747554176","7 CMa","7 CMa b",99.1712760,-19.2561808
