source_id,s_astrometry
1794736064130354816,0.0025
1797961167956835968,0.0075
5251844060635259776,0.0
5823695282239625728,0.0
5862296386714525696,0.0
5917344119224052224,0.0
6654048387653758592,0.0
413922082978017280,0.0
581337228107371264,0.0025
4533417287517288064,0.0
4533692543382818176,0.0
4142047528046768384,0.0
456211941577199104,0.0
4217513333253915520,0.02
2043690510556210176,0.0375
4460305777209134208,0.0
5871198891868812032,0.0
6171099484380759808,0.0
4057365071011204608,0.0
1808614787108671232,0.0
5559902342260126080,0.0
5561716394708507776,0.0
4127178385632890112,0.0
3180107314831422976,0.0
954897093918859648,0.0
956365113742157824,0.0
65881950760561664,0.0
2172953736087192832,0.0
5861107505442312960,0.0
1820673195539110784,0.0
2802651432644974080,0.0
2576074453033342464,0.05
2580151884530871040,0.0075
4518526665948682112,0.0
6451670009698305536,0.0
6095583101643972736,0.0
5656896924435896832,0.69
6032979211685675264,0.0
1712614124767394816,0.7249591503267974
4117890987089581312,0.0
5431730278946416896,0.0
2064189358664519424,0.0
6058083192469341696,0.0
483994096448787584,0.0
484642877029198976,0.015
6870903244932094976,0.0275
2031544755424958080,0.015
4108483767381941248,0.0025
1193831450354450688,0.005
4535260378238873472,0.015
2074814970328592512,0.0
5937096781282318464,0.0
2133591563399816704,0.0
2133953921200457344,0.0
1553272349914887552,0.0
1512692949146107520,0.0125
5338059241289104384,0.0
4374830808417237376,0.0075
1558199669539397376,0.005
3324108115043428992,0.0
4470941078320597632,0.07
1224037817909426688,0.0275
5933943137034536448,0.0
541460312192667648,0.0
5238374115476561792,0.17
6157952314609460992,0.0
1570006779450271488,0.0025
5238623769017227008,0.0
1969205126125953152,0.005
6061581318730808576,0.0
1969589199284727936,0.0
5867850054316779776,0.0
3351931295440598528,0.0
3036896028396755072,0.0
281598950944949376,0.0
5825226008602460928,0.005
5277909873530396672,0.0
5861659219777815424,0.0
5278106823551476352,0.005
277832780022392960,0.0
5818991811993378816,0.0
2877153133656741632,0.0
2879075217421374080,0.0
5823460605219538816,0.0075
2053982282988343552,0.0075
2050891139183640960,0.0
2051092113597145856,0.0025
1870239561985877248,0.0
4448620339427124480,0.03
5840887280396250368,0.0
6062006078164232832,0.0
246961826412014976,0.0
5712422850057946368,0.0
3068676518643386752,0.0575
6318488296529481856,0.0025
6320824346421473536,0.0025
226770944632800896,0.0
228593831832720640,0.0225
1903638086658212096,0.0025
5242115547408209536,0.0
1068689984683130496,0.02
4104358197937678464,0.0
4732758329003145088,0.0
3007836588906557440,0.0
1594127865540229888,0.8875
2144549949116971776,0.0
4058516981249407360,0.0
795460928568215296,0.0
332504930562097024,0.0
5335358325332421632,0.0
6849316941162457856,0.0
2195768430556843392,0.005
1872615705380696960,0.005
1824681057200753280,0.0
2195898379086765184,0.0
1824802209648472960,0.0125
1873018062227929600,0.0
5895603926823778688,0.0
4302602480880600832,0.0
4302821524197114752,0.0
421057187582974080,0.005
3041274176317992064,0.0
3427026599588970240,0.0
2030103325679382912,0.0
2079346985451558400,0.0625
6749839799168829184,0.0025
5426930184840209280,0.0
2244206934280184320,0.05745915032679738
6629868134093128192,0.0
6473095604377847552,0.0
872453306887441792,0.0
5412487657234104320,0.0
5412920967891197824,0.0025
273064885289217024,0.0
5849808923949550464,0.035
3566713294125372800,0.0
5640933463011514240,0.0
5254088679293597568,0.0075
5254202478733524864,0.0025
5254238522101397632,0.0175
1357590886833668224,0.0025
5849895235618853376,0.0
2051793842535760256,0.0
2052097788782907008,0.0
5930673189449160704,0.0
5824232462400453504,0.0
2994040363677058048,0.0
2994311049695999616,0.0
5300054518759204224,0.0
529871764575137152,0.0
5788841068549293824,0.0
4511012917037890048,0.0
4511068128827990400,0.0025
4062410484962788992,0.0
5729794614077795328,0.0
6589506775924700416,0.0
1864918612895093504,0.0
501754232893966080,0.0
1434086968794585472,0.0
2059183007372647680,0.0125
2161228063039921408,0.022459150326797385
533674425539626368,0.0125
5865461743242683648,0.0
5436132242469568128,0.0
2229397131129560192,0.0
6707676964228854272,0.0
2047977231534565760,0.0
5177017724488503040,0.0
5188614892104164224,0.0
3044846833196406912,0.0
5189328475150051456,0.0
4583610710566934144,0.0025
5571181269974046592,0.01
5370961057257182080,0.0
2932912671133136640,0.0
4110778070189496320,0.0075
5257309492413664384,0.0025
2146022504423823744,0.0
5513436396757791616,0.0
224285842196177408,0.0
5514618882852018304,0.0075
225462250919098240,0.0225
5803354317098511104,0.0
5803652147309757952,0.0
2925231551625576448,0.0
2925830270069725056,0.0
1926280565831351168,0.0
1927686089584601728,0.0
5595584037208295040,0.0
2057536385609470720,0.0
2058063498349815424,0.0
2239574588712587904,0.0
1924270697231915904,0.0
508127998728529792,0.0025
2931522647926477056,0.0
5648833728933635328,0.0
2931863633968182400,0.0
5197395145287120768,0.0025
5047189109469319680,0.0675
6131293418246692608,0.0
5889189685254590592,0.0
3415780274964965120,0.0
5289625994557847552,0.0
5289712581099201792,0.0225
5291342710166978304,0.0
932375621152017152,0.0
5930236309729355776,0.0025
3369209914512459264,0.0
3369675523327156096,0.0
5350357274505483904,0.0
1831653438356896640,0.0
1832060532540255360,0.0
5235888291493570944,0.0
5236076445428001664,0.0
2478670195397952128,0.0
4745373133284418816,0.75
1973209375674594816,0.0
5608716844603502592,0.0
5608865175595321088,0.0
2102991776844251264,0.715
1000953673206353792,0.0
1004949715073593984,0.08
663583996402164608,0.005
2015840671297008384,0.0
5528863747487368320,0.0
5979768479581148032,0.0
5979714637871135104,0.0
5529831244698733056,0.0
5273253574925694208,0.0
1869225880984372864,0.0525
1869489729418662528,0.5474509803921569
3370470019258397440,0.0
6065274853169594112,0.0
5299170339618437248,0.005
2270893146637031040,0.0
5928097347278897408,0.0
5091968507216422528,0.0
4527011910718242944,0.0
6435261752862987136,0.205
6436181223760564096,0.0
2191428658163585920,0.0125
1995869073370855168,0.0
5593391129988492288,0.0
1997781089732891648,0.0
4176931806482245248,0.0
5335477244397195392,0.0
