source_id,ra,dec,nss_solution_type,label_crossmatch,period,eccentricity,inclination,parallax_over_error,ruwe,astrometric_chi2_al,astrometric_excess_noise,visibility_periods_used,phot_g_mean_mag,arg_periastron_sin,arg_periastron_cos
5807964053959251968,256.32902521921017,-70.651515481272,SB1,0,998.8990455422964,0.3722410568005859,0.0,18.296484,1.2985438,1333.8005,0.13255852,26.0,12.879,0.7081573004508167,0.7060546988854417
5807718313111626112,252.3652656378908,-71.02334495703494,SB1,0,197.64073596264865,0.6142982287435562,0.0,108.55648,0.98100966,1271.4067,0.09870996,27.0,10.945642,-0.9666294645986666,0.25617860599529985
5911531344844228992,265.9255830232738,-60.65690773056229,SB1,0,39.00924019551853,0.2849531684828643,0.0,93.308586,1.0691917,1156.306,0.083917975,19.0,12.171465,-0.970356120618968,-0.24167953818498342
2166464177953468672,312.1849568810406,46.62149827882156,EclipsingBinary,0,0.3387752771377563,0.0,86.81314552077694,88.854744,0.934321,336.38928,0.0,27.0,14.330426,0.0,1.0
5912052036625568640,265.8693175724558,-59.76821399345668,SB1,0,2.4289644151329077,0.028615675789844,0.0,222.39288,0.9604416,1521.99,0.07297083,21.0,9.270782,0.8994066103781508,0.43711297076166145
4062446910648807168,270.7787122020918,-28.560840236950646,OrbitalTargetedSearchValidated,1,615.4659285544423,0.6152247508222306,0.0,710.8925,1.1575037,584.0461,0.17660898,14.0,9.332131,0.0,1.0
5211261979777396736,104.72063801894512,-79.10129436025976,EclipsingBinary,0,0.7484719157218933,0.0,77.61612504862552,27.576855,1.0225049,367.6126,0.0,26.0,14.454562,0.0,1.0
6076548115840400640,181.45389729295667,-54.96303677664298,SB1,0,14.94725853185461,0.2825299860829997,0.0,54.235664,1.0254773,1859.4686,0.15131915,26.0,11.174711,0.7602969431776864,-0.649575675494908
6703020803052622464,273.14740540501293,-50.10803715958052,SB1,0,15.114936444118262,0.3322722068183226,0.0,150.8637,1.049873,533.1191,0.087249644,17.0,12.022783,-0.16184242160319376,0.9868166144576276
3029593484484561664,115.64639540968486,-14.539802626342029,EclipsingBinary,0,0.7842941284179688,0.0,82.85422444386498,22.738607,1.001855,327.39313,0.0,18.0,14.79408,0.0,1.0
307024328406091264,18.492134024488298,27.078579537270866,SB1,0,24.850927118563337,0.3231097069872654,0.0,185.87524,1.035959,745.00494,0.109476835,17.0,11.762328,0.9539469486369239,-0.29997536429897387
1417417650962715136,269.6712163283607,55.16722426274847,SB1,0,399.1208583237436,0.1046204809562527,0.0,31.259018,1.278259,857.1408,0.094212785,26.0,12.450172,-0.6716314118781614,-0.7408854476763242
313174966387156864,17.625151432476784,31.340962616741187,SB1,0,2.542658449014139,0.0717752995061528,0.0,78.6519,1.1012541,755.6978,0.10660665,17.0,11.858308,0.9815387854565861,-0.1912632025362164
3137598855274586880,117.35048945905714,5.247396203404123,EclipsingBinary,0,0.5936365127563477,0.0,72.96271716709583,26.0462,0.93952847,333.27216,0.0,19.0,13.9298,0.0,1.0
177107035200745984,62.68270543826482,35.751576374535524,SB1,0,664.7252679548521,0.6001487453667912,0.0,66.33166,1.278226,1913.7751,0.12865469,16.0,9.341363,0.9733369175794422,0.22938013182695277
316922342532897920,21.24296068560802,33.955883875458326,SB1,0,4.430168447920729,0.0996902254941806,0.0,90.91737,0.900797,923.91925,0.106752165,17.0,11.207399,-0.3857944105832943,0.9225847780896282
5556763614517989120,97.61812753524624,-44.52765972021387,SB1,0,14.881177944633803,0.2964695237527404,0.0,563.6947,1.370029,1504.6552,0.14745921,26.0,10.553826,0.9955446135896763,0.09429168761127475
5307600913751780864,147.12153647136424,-56.41471518656088,SB1,0,783.3749603495662,0.2186799041493732,0.0,28.707884,1.1586705,1697.9761,0.15987371,25.0,11.165759,-0.8757538533553609,0.4827578982608538
5559358427601010944,106.51882634709884,-43.33698558928127,EclipsingBinary,0,0.368925005197525,0.0,80.82354090172849,22.706228,1.0535306,395.20596,0.042153757,27.0,15.584692,0.0,1.0
5559604267232429824,107.0749482144346,-42.521770317613225,SB1,0,86.49173117498304,0.081480943965203,0.0,85.09414,0.97883826,1044.3374,0.13254073,23.0,11.490321,-0.5333328753079088,0.8459054581428107
4927690986010140928,20.470342508397582,-51.24206160753375,SB1,0,85.2729158252485,0.1947698846391038,0.0,148.95586,1.1238308,2097.1174,0.13101779,30.0,11.519729,-0.23396658427428804,0.9722446386805239
2972210213142114560,83.79351795481666,-15.459148959792342,EclipsingBinary,0,2.407029867172241,0.0,81.77619519659436,56.324974,1.1303682,1033.1033,0.08153809,25.0,12.632196,0.0,1.0
3316847833605449728,89.83395111233959,4.273354437069145,SB1,0,16.83015738640966,0.1105878344024778,0.0,103.68547,1.0393721,423.83353,0.06529151,17.0,12.413733,-0.17264237503175742,0.9849845736575746
1816378060750379136,304.3850009059368,19.12141062841702,EclipsingBinary,0,0.5231536030769348,0.0,61.126627712867375,39.6738,0.94581634,508.38196,0.0,22.0,13.871166,0.0,1.0
1817124384319851520,306.87588532247594,21.43393144893217,EclipsingBinary,0,1.0308650732040403,0.0,77.82964359226929,14.165694,1.0093405,484.43695,0.0,23.0,14.579159,0.0,1.0
5416752486737577984,154.1917369422316,-42.559071653222034,SB1,0,4.378359350265409,0.0372817303890004,0.0,194.17287,1.203076,1907.968,0.12083575,26.0,11.739831,-0.2832090001237334,-0.9590582162981115
1779987043356769664,330.32251566044465,20.030228207957048,SB1,0,421.9414104231803,0.0854964109594159,0.0,15.836538,1.090332,526.43835,0.06487915,16.0,12.535584,-0.34412135949609085,-0.9389251780299441
1963197669462035840,334.9129366122701,46.64148086113421,SB1,0,1.5909973845987877,0.2597768491579183,0.0,88.8241,0.9735086,1135.0228,0.092569806,26.0,11.769658,0.9805084218669623,0.19647705883374544
4051208493127983744,276.2318116951686,-28.717094910755037,SB1,0,128.1444701720902,0.0678325246649658,0.0,11.624953,0.8334425,160.68745,0.0,16.0,13.166331,0.9112273756398773,-0.4119037143368119
4045437049089074304,273.8522884661156,-33.57325594971717,EclipsingBinary,0,0.4780375361442566,0.0,73.01722207667254,13.047306,0.97510237,255.27467,0.0,17.0,15.043828,0.0,1.0
5503909300297668864,105.9780108096774,-52.16275404129954,SB1,0,47.56853589053029,0.1184167039592666,0.0,170.094,1.0772606,775.3619,0.09255176,25.0,10.7708025,-0.9999913678125776,-0.004155033132251034
