feature,gain
rms,5654.502220614348
span_days,4358.552283542114
n_obs,3240.3774293878814
period,2483.441177908564
skew,1796.9839618286933
mad,1632.7520342503558
amp,1513.8251645680284
power3,1491.5279217258794
power1,927.0179307076032
power2,489.92575431941077
